cc_article_number,URL,article_title
CC 116,https://www.legis.la.gov/legis/Law.aspx?d=108558,Modification of spousal support obligation
CC 117,https://www.legis.la.gov/legis/Law.aspx?d=108560,Peremptive period for obligation
CC 118,https://www.legis.la.gov/legis/Law.aspx?d=920493,Repealed
CC 121,https://www.legis.la.gov/legis/Law.aspx?d=108569,Claim for contributions to education or training; authority of court
CC 122,https://www.legis.la.gov/legis/Law.aspx?d=108571,Nature of action
CC 123,https://www.legis.la.gov/legis/Law.aspx?d=108578,Form of award; effect of remarriage or death
CC 124,https://www.legis.la.gov/legis/Law.aspx?d=108589,Prescription of spousal claim for contributions
CC 131,https://www.legis.la.gov/legis/Law.aspx?d=108661,Court to determine custody
CC 132,https://www.legis.la.gov/legis/Law.aspx?d=108671,Award of custody to parents
CC 133,https://www.legis.la.gov/legis/Law.aspx?d=108682,Award of custody to person other than a parent; order of preference
CC 134,https://www.legis.la.gov/legis/Law.aspx?d=108693,Factors in determining child's best interest
CC 135,https://www.legis.la.gov/legis/Law.aspx?d=108704,Closed custody hearing
CC 136,https://www.legis.la.gov/legis/Law.aspx?d=108715,Award of visitation rights
CC 136.1,https://www.legis.la.gov/legis/Law.aspx?d=506495,Award of visitation rights
CC 137,https://www.legis.la.gov/legis/Law.aspx?d=108726,Denial of visitation; sex offense; death of a parent
CC 141,https://www.legis.la.gov/legis/Law.aspx?d=108765,Child support; authority of court
CC 142,https://www.legis.la.gov/legis/Law.aspx?d=108776,Modification or termination of child support award
CC 149,https://www.legis.la.gov/legis/Law.aspx?d=108809,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 150,https://www.legis.la.gov/legis/Law.aspx?d=108818,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 151,https://www.legis.la.gov/legis/Law.aspx?d=108829,Proceeding for declaration of nullity of a marriage; interim incidental relief
CC 152,https://www.legis.la.gov/legis/Law.aspx?d=108840,Proceeding for declaration of nullity of a marriage; final incidental relief
CC 153,https://www.legis.la.gov/legis/Law.aspx?d=108851,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 154,https://www.legis.la.gov/legis/Law.aspx?d=108862,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 155,https://www.legis.la.gov/legis/Law.aspx?d=108873,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 156,https://www.legis.la.gov/legis/Law.aspx?d=108884,"Repealed by Acts 1990, No. 1009, 9, eff. Jan. 1, 1991."
CC 159,https://www.legis.la.gov/legis/Law.aspx?d=108916,Effect of divorce on community property regime
CC 160,https://www.legis.la.gov/legis/Law.aspx?d=108927,Blank]
CC 161,https://www.legis.la.gov/legis/Law.aspx?d=108938,"Repealed by Acts 1990, No. 1008, 6, eff. Jan. 1, 1991."
CC 162,https://www.legis.la.gov/legis/Law.aspx?d=108950,"Arts. 162 to 175 Repealed by Acts 1990, No. 705, 1."
CC 178,https://www.legis.la.gov/legis/Law.aspx?d=669805,Definition
CC 179,https://www.legis.la.gov/legis/Law.aspx?d=669806,Establishment of filiation
CC 184,https://www.legis.la.gov/legis/Law.aspx?d=109079,Maternity
CC 185,https://www.legis.la.gov/legis/Law.aspx?d=109090,Presumption of paternity of husband
CC 186,https://www.legis.la.gov/legis/Law.aspx?d=109101,Presumption if child is born after divorce or after death of husband; effect of disavowal
CC 187,https://www.legis.la.gov/legis/Law.aspx?d=109112,Disavowal action; proof
CC 188,https://www.legis.la.gov/legis/Law.aspx?d=109123,Disavowal precluded in case of assisted conception
CC 189,https://www.legis.la.gov/legis/Law.aspx?d=109134,Time limit for disavowal by the husband
CC 190,https://www.legis.la.gov/legis/Law.aspx?d=109145,Time limit for disavowal by heir or legatee
CC 190.1,https://www.legis.la.gov/legis/Law.aspx?d=1106195,Three-party acknowledgment; alternative to disavowal; time period
CC 191,https://www.legis.la.gov/legis/Law.aspx?d=109156,Contestation and establishment of paternity by mother
CC 192,https://www.legis.la.gov/legis/Law.aspx?d=321828,Contestation action; proof
CC 193,https://www.legis.la.gov/legis/Law.aspx?d=109177,Contestation and establishment of paternity; time period
CC 194,https://www.legis.la.gov/legis/Law.aspx?d=109188,Judgment in contestation action
CC 195,https://www.legis.la.gov/legis/Law.aspx?d=109199,Presumption by marriage and acknowledgment; child not filiated to another man; proof; time period
CC 196,https://www.legis.la.gov/legis/Law.aspx?d=109210,Formal acknowledgment; presumption
CC 197,https://www.legis.la.gov/legis/Law.aspx?d=109221,Child's action to establish paternity; proof; time period
CC 198,https://www.legis.la.gov/legis/Law.aspx?d=109232,Father's action to establish paternity; time period
CC 199,https://www.legis.la.gov/legis/Law.aspx?d=109243,Effect of adoption.
CC 200,https://www.legis.la.gov/legis/Law.aspx?d=109255,Adoption of minors
CC 201,https://www.legis.la.gov/legis/Law.aspx?d=109266,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 202,https://www.legis.la.gov/legis/Law.aspx?d=109277,"Repealed by Acts 1979, No. 607, 4."
CC 203,https://www.legis.la.gov/legis/Law.aspx?d=109288,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 204,https://www.legis.la.gov/legis/Law.aspx?d=109299,"Repealed by Acts 1979, No. 607, 4."
CC 205,https://www.legis.la.gov/legis/Law.aspx?d=109310,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 206,https://www.legis.la.gov/legis/Law.aspx?d=109320,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 207,https://www.legis.la.gov/legis/Law.aspx?d=109321,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 208,https://www.legis.la.gov/legis/Law.aspx?d=109322,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 209,https://www.legis.la.gov/legis/Law.aspx?d=109323,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 210,https://www.legis.la.gov/legis/Law.aspx?d=109324,"Repealed by Acts 1980, No. 549, 2."
CC 211,https://www.legis.la.gov/legis/Law.aspx?d=109325,"Repealed by Acts 2005, No. 192, §1, eff. June 29, 2005."
CC 212,https://www.legis.la.gov/legis/Law.aspx?d=109326,Adult adoption requirements
CC 213,https://www.legis.la.gov/legis/Law.aspx?d=109327,Adult adoption; form
CC 214,https://www.legis.la.gov/legis/Law.aspx?d=109328,Adult adoption; recordation requirement
CC 215,https://www.legis.la.gov/legis/Law.aspx?d=109329,Repealed
CC 216,https://www.legis.la.gov/legis/Law.aspx?d=109330,Repealed
CC 217,https://www.legis.la.gov/legis/Law.aspx?d=109331,Repealed
CC 218,https://www.legis.la.gov/legis/Law.aspx?d=109332,Repealed
CC 219,https://www.legis.la.gov/legis/Law.aspx?d=109333,Repealed
CC 220,https://www.legis.la.gov/legis/Law.aspx?d=109334,Repealed
CC 221,https://www.legis.la.gov/legis/Law.aspx?d=109335,Authority of married parents
CC 222,https://www.legis.la.gov/legis/Law.aspx?d=109336,Representation of minor
CC 223,https://www.legis.la.gov/legis/Law.aspx?d=109337,Rights and obligations of parental authority
CC 224,https://www.legis.la.gov/legis/Law.aspx?d=109338,Parental obligation of support and education
CC 225,https://www.legis.la.gov/legis/Law.aspx?d=109339,Parental liability for child's offenses and quasi-offenses
CC 226,https://www.legis.la.gov/legis/Law.aspx?d=109340,Parental obligation of direction
CC 227,https://www.legis.la.gov/legis/Law.aspx?d=109341,Parental control
CC 228,https://www.legis.la.gov/legis/Law.aspx?d=109342,Child's obligation of obedience; parental correction
CC 229,https://www.legis.la.gov/legis/Law.aspx?d=109343,Administration of the property of the child
CC 230,https://www.legis.la.gov/legis/Law.aspx?d=109352,"Alienation, encumbrance, or lease of the property of the child; expenditure of fruits"
CC 231,https://www.legis.la.gov/legis/Law.aspx?d=109363,Parents' obligation to deliver and account
CC 232,https://www.legis.la.gov/legis/Law.aspx?d=109382,Parental authority
CC 233,https://www.legis.la.gov/legis/Law.aspx?d=109396,Delegation of parental authority
CC 234,https://www.legis.la.gov/legis/Law.aspx?d=109407,Parental authority; custody award
CC 235,https://www.legis.la.gov/legis/Law.aspx?d=109420,Termination of parental authority
CC 236,https://www.legis.la.gov/legis/Law.aspx?d=109433,Filial honor and respect
CC 237,https://www.legis.la.gov/legis/Law.aspx?d=109456,Obligation of providing the basic necessities of life; ascendants and descendants; exceptions
CC 238,https://www.legis.la.gov/legis/Law.aspx?d=109465,Amount of support
CC 239,https://www.legis.la.gov/legis/Law.aspx?d=109466,Modification or termination of support
CC 240,https://www.legis.la.gov/legis/Law.aspx?d=109468,Repealed
CC 241,https://www.legis.la.gov/legis/Law.aspx?d=109469,Repealed
CC 242,https://www.legis.la.gov/legis/Law.aspx?d=109470,Repealed
CC 243,https://www.legis.la.gov/legis/Law.aspx?d=109471,Repealed
CC 244,https://www.legis.la.gov/legis/Law.aspx?d=109480,Repealed
CC 245,https://www.legis.la.gov/legis/Law.aspx?d=109491,Repealed
CC 246,https://www.legis.la.gov/legis/Law.aspx?d=109502,Occasion for tutorship.
CC 247,https://www.legis.la.gov/legis/Law.aspx?d=109513,Kinds of tutorships.
CC 248,https://www.legis.la.gov/legis/Law.aspx?d=109524,Modes of establishment of tutorships.
CC 249,https://www.legis.la.gov/legis/Law.aspx?d=109535,Accountability of tutor.
CC 250,https://www.legis.la.gov/legis/Law.aspx?d=109547,Persons entitled to tutorship
CC 251,https://www.legis.la.gov/legis/Law.aspx?d=109558,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 252,https://www.legis.la.gov/legis/Law.aspx?d=109569,Unborn and posthumous children.
CC 253,https://www.legis.la.gov/legis/Law.aspx?d=109580,"Repealed by Acts 1974, No. 163, 2."
CC 254,https://www.legis.la.gov/legis/Law.aspx?d=109591,"Arts. 254, 255 Repealed by Acts 1960, No. 30, 2"
CC 256,https://www.legis.la.gov/legis/Law.aspx?d=109612,Children born outside of marriage
CC 257,https://www.legis.la.gov/legis/Law.aspx?d=109623,Surviving parent's right of appointment.
CC 258,https://www.legis.la.gov/legis/Law.aspx?d=109634,Right of appointment where parents are divorced or separated
CC 259,https://www.legis.la.gov/legis/Law.aspx?d=109645,Option of acceptance of tutorship.
CC 260,https://www.legis.la.gov/legis/Law.aspx?d=109657,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 261,https://www.legis.la.gov/legis/Law.aspx?d=109668,Child born outside of marriage
CC 262,https://www.legis.la.gov/legis/Law.aspx?d=109679,Appointment of several tutors; order of priority.
CC 263,https://www.legis.la.gov/legis/Law.aspx?d=109690,Qualified ascendants; collaterals by blood; surviving spouse.
CC 270,https://www.legis.la.gov/legis/Law.aspx?d=109763,Occasion for tutorship.
CC 273,https://www.legis.la.gov/legis/Law.aspx?d=109794,Necessity for appointment.
CC 278,https://www.legis.la.gov/legis/Law.aspx?d=109845,Liability concerning minor's legal mortgage.
CC 279,https://www.legis.la.gov/legis/Law.aspx?d=109856,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 280,https://www.legis.la.gov/legis/Law.aspx?d=109868,Termination of undertutorship.
CC 281,https://www.legis.la.gov/legis/Law.aspx?d=109879,"Arts. 281 to 291 Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 292,https://www.legis.la.gov/legis/Law.aspx?d=109949,Excuse by reason of office or function.
CC 293,https://www.legis.la.gov/legis/Law.aspx?d=109960,Waiver of excuse by subsequent acceptance of tutorship.
CC 294,https://www.legis.la.gov/legis/Law.aspx?d=109971,Subsequently acquired excuse.
CC 295,https://www.legis.la.gov/legis/Law.aspx?d=109982,Excuse for remote relationship.
CC 296,https://www.legis.la.gov/legis/Law.aspx?d=109993,Excuse for age.
CC 297,https://www.legis.la.gov/legis/Law.aspx?d=110004,Excuse for infirmity.
CC 298,https://www.legis.la.gov/legis/Law.aspx?d=110015,Excuse for prior tutorships
CC 299,https://www.legis.la.gov/legis/Law.aspx?d=110026,Time to present excuse.
CC 300,https://www.legis.la.gov/legis/Law.aspx?d=110039,Provisional administration pending consideration of excuse.
CC 301,https://www.legis.la.gov/legis/Law.aspx?d=110050,Parent's unconditional obligation of tutorship.
CC 302,https://www.legis.la.gov/legis/Law.aspx?d=110061,"Repealed by Acts 1960, No. 30, 2"
CC 307,https://www.legis.la.gov/legis/Law.aspx?d=110112,"Repealed by Acts 1960, No. 30, 2, eff. Jan. 1, 1961."
CC 308,https://www.legis.la.gov/legis/Law.aspx?d=110123,Duty to apply for appointment.
CC 309,https://www.legis.la.gov/legis/Law.aspx?d=110134,Minors exempt from taking application.
CC 310,https://www.legis.la.gov/legis/Law.aspx?d=110146,Liability for failure to make application.
CC 311,https://www.legis.la.gov/legis/Law.aspx?d=110157,Action for damages; prescription.
CC 322,https://www.legis.la.gov/legis/Law.aspx?d=110269,Minor's legal mortgage on tutor's property.
CC 333,https://www.legis.la.gov/legis/Law.aspx?d=110380,Sale of mortgaged property by one claimant; inscription of legal mortgage of remaining minors.
CC 336,https://www.legis.la.gov/legis/Law.aspx?d=110408,Alienation of minor's immovables.
CC 337,https://www.legis.la.gov/legis/Law.aspx?d=110419,"Repealed by Acts 2001, No. 572, 2."
CC 338,https://www.legis.la.gov/legis/Law.aspx?d=110421,Interest.
CC 339,https://www.legis.la.gov/legis/Law.aspx?d=110422,Agreements between tutor and minor.
CC 340,https://www.legis.la.gov/legis/Law.aspx?d=110426,Prescription of minor's action against tutor.
CC 354,https://www.legis.la.gov/legis/Law.aspx?d=110560,Procedure for placing under tutorship.
CC 355,https://www.legis.la.gov/legis/Law.aspx?d=110571,Petition for continuing or permanent tutorship
CC 356,https://www.legis.la.gov/legis/Law.aspx?d=110574,Title of proceedings; procedural rules; parents as tutor and undertutor.
CC 357,https://www.legis.la.gov/legis/Law.aspx?d=110575,"Decree, place of recording, notice."
CC 358,https://www.legis.la.gov/legis/Law.aspx?d=110576,"Authority, privileges, and duties of tutor and undertutor; termination of tutorship."
CC 359,https://www.legis.la.gov/legis/Law.aspx?d=110577,Restriction on legal capacity.
CC 360,https://www.legis.la.gov/legis/Law.aspx?d=110578,Parents' rights of administration.
CC 361,https://www.legis.la.gov/legis/Law.aspx?d=110579,Contest of decree restricting legal capacity.
CC 362,https://www.legis.la.gov/legis/Law.aspx?d=110580,Persons subject to interdiction.
CC 365,https://www.legis.la.gov/legis/Law.aspx?d=110581,Emancipation
CC 366,https://www.legis.la.gov/legis/Law.aspx?d=110582,Judicial emancipation
CC 367,https://www.legis.la.gov/legis/Law.aspx?d=110583,Emancipation by marriage
CC 368,https://www.legis.la.gov/legis/Law.aspx?d=110584,Limited emancipation by authentic act
CC 369,https://www.legis.la.gov/legis/Law.aspx?d=110585,Emancipation; when effective
CC 370,https://www.legis.la.gov/legis/Law.aspx?d=110586,Modification and termination of judicial emancipation
CC 371,https://www.legis.la.gov/legis/Law.aspx?d=110587,Modification or termination of limited emancipation by authentic act
CC 389,https://www.legis.la.gov/legis/Law.aspx?d=110603,Full interdiction
CC 390,https://www.legis.la.gov/legis/Law.aspx?d=110605,Limited interdiction
CC 391,https://www.legis.la.gov/legis/Law.aspx?d=110606,Temporary and preliminary interdiction
CC 392,https://www.legis.la.gov/legis/Law.aspx?d=110607,Curators
CC 393,https://www.legis.la.gov/legis/Law.aspx?d=110608,Undercurators
CC 394,https://www.legis.la.gov/legis/Law.aspx?d=110609,Pre-interdiction juridical acts
CC 395,https://www.legis.la.gov/legis/Law.aspx?d=110610,Capacity to make juridical acts
CC 396,https://www.legis.la.gov/legis/Law.aspx?d=110611,Effective date of judgment of interdiction
CC 397,https://www.legis.la.gov/legis/Law.aspx?d=110612,Modification and termination of interdiction
CC 398,https://www.legis.la.gov/legis/Law.aspx?d=110613,Effective date of modification or termination of a judgment of interdiction
CC 399,https://www.legis.la.gov/legis/Law.aspx?d=110614,Responsibility for wrongful filing of interdiction petition
CC 448,https://www.legis.la.gov/legis/Law.aspx?d=110622,Division of things.
CC 449,https://www.legis.la.gov/legis/Law.aspx?d=110623,Common things.
CC 450,https://www.legis.la.gov/legis/Law.aspx?d=110625,Public things.
CC 451,https://www.legis.la.gov/legis/Law.aspx?d=110626,Seashore.
CC 452,https://www.legis.la.gov/legis/Law.aspx?d=110627,Public things and common things subject to public use.
CC 453,https://www.legis.la.gov/legis/Law.aspx?d=110628,Private things.
CC 454,https://www.legis.la.gov/legis/Law.aspx?d=110629,Freedom of disposition by private persons.
CC 455,https://www.legis.la.gov/legis/Law.aspx?d=110630,Private things subject to public use.
CC 456,https://www.legis.la.gov/legis/Law.aspx?d=110631,Banks of navigable rivers or streams.
CC 457,https://www.legis.la.gov/legis/Law.aspx?d=110632,Roads; public or private.
CC 458,https://www.legis.la.gov/legis/Law.aspx?d=110633,Works obstructing the public use.
CC 459,https://www.legis.la.gov/legis/Law.aspx?d=110634,Building encroaching on public way.
CC 460,https://www.legis.la.gov/legis/Law.aspx?d=110636,Construction of navigation facilities on public places by port commissions or municipalities.
CC 461,https://www.legis.la.gov/legis/Law.aspx?d=110637,Corporeals and incorporeals.
CC 462,https://www.legis.la.gov/legis/Law.aspx?d=110638,Tracts of land.
CC 463,https://www.legis.la.gov/legis/Law.aspx?d=110639,Component parts of tracts of land.
CC 464,https://www.legis.la.gov/legis/Law.aspx?d=110640,Buildings and standing timber as separate immovables.
CC 465,https://www.legis.la.gov/legis/Law.aspx?d=110641,Things incorporated into an immovable.
CC 466,https://www.legis.la.gov/legis/Law.aspx?d=110642,Component parts of a building or other construction
CC 467,https://www.legis.la.gov/legis/Law.aspx?d=110643,Immovables by declaration.
CC 468,https://www.legis.la.gov/legis/Law.aspx?d=110644,Deimmobilization.
CC 469,https://www.legis.la.gov/legis/Law.aspx?d=110645,Transfer or encumbrance of immovable.
CC 470,https://www.legis.la.gov/legis/Law.aspx?d=110647,Incorporeal immovables.
CC 471,https://www.legis.la.gov/legis/Law.aspx?d=110648,Corporeal movables.
CC 472,https://www.legis.la.gov/legis/Law.aspx?d=110649,Building materials.
CC 473,https://www.legis.la.gov/legis/Law.aspx?d=110650,Incorporeal movables.
CC 474,https://www.legis.la.gov/legis/Law.aspx?d=110651,Movables by anticipation.
CC 475,https://www.legis.la.gov/legis/Law.aspx?d=110652,Things not immovable.
CC 476,https://www.legis.la.gov/legis/Law.aspx?d=110653,Rights in things.
CC 477,https://www.legis.la.gov/legis/Law.aspx?d=110654,Ownership; content
CC 478,https://www.legis.la.gov/legis/Law.aspx?d=110655,Resolutory condition; real right in favor of other person.
CC 479,https://www.legis.la.gov/legis/Law.aspx?d=110656,Necessity of a person.
CC 480,https://www.legis.la.gov/legis/Law.aspx?d=110658,Co-ownership.
CC 481,https://www.legis.la.gov/legis/Law.aspx?d=110659,Ownership and possession distinguished.
CC 482,https://www.legis.la.gov/legis/Law.aspx?d=110660,Accession.
CC 483,https://www.legis.la.gov/legis/Law.aspx?d=110661,Ownership of fruits by accession.
CC 484,https://www.legis.la.gov/legis/Law.aspx?d=110662,Young of animals.
CC 485,https://www.legis.la.gov/legis/Law.aspx?d=110663,Fruits produced by a third person; reimbursement.
CC 486,https://www.legis.la.gov/legis/Law.aspx?d=110664,Possessor's right to fruits.
CC 487,https://www.legis.la.gov/legis/Law.aspx?d=110665,Possessor in good faith; definition.
CC 488,https://www.legis.la.gov/legis/Law.aspx?d=110666,Products; reimbursement of expenses.
CC 489,https://www.legis.la.gov/legis/Law.aspx?d=110667,Apportionment of fruits.
CC 490,https://www.legis.la.gov/legis/Law.aspx?d=110669,Accession above and below the surface.
CC 491,https://www.legis.la.gov/legis/Law.aspx?d=110670,"Buildings, other constructions, standing timber, and crops."
CC 492,https://www.legis.la.gov/legis/Law.aspx?d=110671,Separate ownership of part of a building.
CC 493,https://www.legis.la.gov/legis/Law.aspx?d=110672,Ownership of improvements
CC 493.1,https://www.legis.la.gov/legis/Law.aspx?d=110673,Ownership of component parts
CC 493.2,https://www.legis.la.gov/legis/Law.aspx?d=110674,Loss of ownership by accession; claims of former owner
CC 494,https://www.legis.la.gov/legis/Law.aspx?d=110675,Constructions by landowner with materials of another.
CC 495,https://www.legis.la.gov/legis/Law.aspx?d=110676,"Things incorporated in, or attached to, an immovable with the consent of the owner of the immovable."
CC 496,https://www.legis.la.gov/legis/Law.aspx?d=110677,Constructions by possessor in good faith.
CC 497,https://www.legis.la.gov/legis/Law.aspx?d=110678,Constructions by bad faith possessor.
CC 498,https://www.legis.la.gov/legis/Law.aspx?d=110679,Claims against third persons
CC 499,https://www.legis.la.gov/legis/Law.aspx?d=110680,Alluvion and dereliction.
CC 500,https://www.legis.la.gov/legis/Law.aspx?d=110683,Shore of the sea or of a lake.
CC 501,https://www.legis.la.gov/legis/Law.aspx?d=110684,Division of alluvion.
CC 502,https://www.legis.la.gov/legis/Law.aspx?d=110685,Sudden action of waters.
CC 503,https://www.legis.la.gov/legis/Law.aspx?d=110686,Island formed by river opening a new channel.
CC 504,https://www.legis.la.gov/legis/Law.aspx?d=110687,Ownership of abandoned bed when river changes course.
CC 505,https://www.legis.la.gov/legis/Law.aspx?d=110688,Islands and sandbars in navigable rivers.
CC 506,https://www.legis.la.gov/legis/Law.aspx?d=110689,Ownership of beds of nonnavigable rivers or streams.
CC 507,https://www.legis.la.gov/legis/Law.aspx?d=110690,Accession as between movables.
CC 508,https://www.legis.la.gov/legis/Law.aspx?d=110691,Things principal and accessory.
CC 509,https://www.legis.la.gov/legis/Law.aspx?d=110692,Value or bulk as a basis to determine principal thing.
