article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
24,Kinds of persons ,"There are two kinds of persons: natural persons and juridical persons.
A natural person is a human being.  A juridical person is an entity to which the law attributes personality, such as a corporation or a partnership.  The personality of a juridical person is distinct from that of its members.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
25,Commencement and end of natural personality ,"Natural personality commences from the moment of live birth and terminates at death.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
26,Unborn child ,"An unborn child shall be considered as a natural person for whatever relates to its interests from the moment of conception.  If the child is born dead, it shall be considered never to have existed as a person, except for purposes of actions resulting from its wrongful death.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
27,General legal capacity ,"All natural persons enjoy general legal capacity to have rights and duties.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
28,Capacity to make juridical acts ,"A natural person who has reached majority has capacity to make all sorts of juridical acts, unless otherwise provided by legislation.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
29,Age of majority ,"Majority is attained upon reaching the age of eighteen years.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
30,Presumption of death ,"When a person has disappeared under circumstances such that his death seems certain, his death is considered to have been established even though his body has not been found.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
31,Existence of a person at time of accrual of a right ,"One claiming a right that has accrued to another person is bound to prove that such person existed at the time when the right accrued.
",I. OF PERSONS,I.  NATURAL AND JURIDICAL PERSONS,,,
38,Domicile,"The domicile of a natural person is the place of his habitual residence.  The domicile of a juridical person may be either the state of its formation or the state of its principal place of business, whichever is most pertinent to the particular issue, unless otherwise specifically provided by law.
",I. OF PERSONS,II  -  DOMICILE,,,
39,Domicile and residence,"A natural person may reside in several places but may not have more than one domicile.  In the absence of habitual residence, any place of residence may be considered one's domicile at the option of persons whose interests are affected.
",I. OF PERSONS,II  -  DOMICILE,,,
40,Domicile of spouses,"Spouses may have either a common domicile or separate domiciles.
",I. OF PERSONS,II  -  DOMICILE,,,
41,Domicile of unemancipated minor,"The domicile of an unemancipated minor is that of the parent or parents with whom the minor usually resides.  If the minor has been placed by court order under the legal authority of a parent or other person, the domicile of that person is the domicile of the minor, unless the court directs otherwise.
The domicile of an unemancipated minor under tutorship is that of his tutor.  In case of joint tutorship, the domicile of the minor is that of the tutor with whom the minor usually resides, unless the court directs otherwise.
",I. OF PERSONS,II  -  DOMICILE,,,
42,Domicile of interdict,"The domicile of a full interdict is that of the curator.  A limited interdict retains his domicile, unless otherwise provided in the judgment of interdiction.
",I. OF PERSONS,II  -  DOMICILE,,,
43,Domicile of person under continued or permanent tutorship,"The domicile of a person under continued or permanent tutorship is that of his tutor.
",I. OF PERSONS,II  -  DOMICILE,,,
44,Change of domicile,"Domicile is maintained until acquisition of a new domicile.  A natural person changes domicile when he moves his residence to another location with the intent to make that location his habitual residence.
",I. OF PERSONS,II  -  DOMICILE,,,
45,Proof of intent to change domicile,"Proof of one's intent to establish or change domicile depends on the circumstances.  A sworn declaration of intent recorded in the parishes from which and to which he intends to move may be considered as evidence of intent.
",I. OF PERSONS,II  -  DOMICILE,,,
46,Person holding temporary position,"A person holding a temporary position away from his domicile retains his domicile unless he demonstrates a contrary intent.
",I. OF PERSONS,II  -  DOMICILE,,,
47,Curator of an absent person's property ,"An absent person is one who has no representative in this state and whose whereabouts are not known and cannot be ascertained by diligent effort.
When an absent person owns property in this state, the court may, upon petition of any interested party and a showing of necessity, appoint a curator to manage the property of the absent person.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
48,"Powers, rights, and duties of curator ","The curator has power of administration and disposition over the property of the absent person as provided by legislation.
When the absent person is a spouse in community, the curatorship is limited to his separate property.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
49,Legal capacity of absent person ,"The establishment of the curatorship does not deprive the absent person of his capacity to make juridical acts.  Nevertheless, his acts of disposition of immovable property are not effective towards third persons and the curator unless filed for registry in the public records of the parish in which the immovable property is located.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
50,Termination of curatorship of right ,"The curatorship of the property of the absent person terminates of right when he appoints a person to represent him in this state, when his whereabouts become known, or when he dies.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
51,Termination by judgment of declaration of death ,"The curatorship of the property of the absent person also terminates when a judgment of declaration of death is rendered.
When an absent person has no known heirs and is presumed dead, it shall be the duty of the curator to initiate proceedings for a declaration of death.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
52,Effects of termination of curatorship ,"Upon termination of the curatorship, the curator is bound to account for his management and to restore the property to the formerly absent person or to his successors.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
53,Validity of acts of curator after termination of the curatorship ,"When the curator acquires knowledge of the termination of his curatorship, he is bound to file a notice in the curatorship proceeding that his authority to manage the property of the formerly absent person has ceased.
",I. OF PERSONS,III.  ABSENT PERSONS,1.  CURATORSHIP OF THE PROPERTY OF ABSENT PERSONS,,
54,Absent person; declaration of death,"One who has been an absent person for five years is presumed to be dead.  If the absence commenced between August 26, 2005, and September 30, 2005, and was related to or caused by Hurricane Katrina or Rita, the absent person who is not currently charged with an offense that is defined as a felony under the laws of the state of Louisiana or the United States of America shall be presumed dead after the passage of two years.  Upon petition by an interested party, the court shall render judgment declaring the death of the absent person and shall determine the date on which the absence commenced and the date of death.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
55,Declaration of death; effect ,"The succession of the person declared dead shall be opened as of the date of death fixed in the judgment, and his estate shall devolve in accordance with the law of successions.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
56,New evidence as to time of death ,"If there is clear and convincing new evidence establishing a date of death other than that determined in the judgment of declaration of death, the judgment shall be amended accordingly.
Persons previously recognized as successors are bound to restore the estate to the new successors but may keep the fruits they have gathered.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
57,Reappearance of absent person; recovery of his property ,"If a person who has been declared dead reappears, he shall be entitled to recover his property that still exists in the condition in which it is found from those who took it as his successors or from their transferees by gratuitous title.  He may also recover the net proceeds of things alienated and for the diminution of the value of things that has resulted from their encumbrance.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
58,Succession rights of person presumed dead or declared dead ,"A person who is presumed to be dead or who has been declared dead at a time a succession would have been opened in his favor cannot be a successor.  The estate of the deceased devolves as if that person were dead at the time of the opening of the succession.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
59,Reappearance of absent person; recovery of his inheritance ,"If the person who is presumed to be dead or who has been declared dead reappears, he shall be entitled to recover his inheritance in the condition in which it is found from those who succeeded in his default and from their transferees by gratuitous title.  He may also recover the net proceeds of things alienated and for the diminution of the value of things that has resulted from their encumbrance.
",I. OF PERSONS,III.  ABSENT PERSONS,2.  DECLARATION OF DEATH,,
86,Marriage; definition ,"Marriage is a legal relationship between a man and a woman that is created by civil contract.  The relationship and the contract are subject to special rules prescribed by law.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
87,Contract of marriage; requirements ,"The requirements for the contract of marriage are: 
The absence of legal impediment.
A marriage ceremony.
The free consent of the parties to take each other as husband and wife, expressed at the ceremony.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
88,Impediment of existing marriage ,"A married person may not contract another marriage.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
89,Impediment of same sex,"Persons of the same sex may not contract marriage with each other.  A
purported marriage between persons of the same sex contracted in another
state shall be governed by the provisions of Title II of Book IV of the Civil
Code.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
90,Impediments of relationship,"A.  The following persons may not contract marriage with each other:
(1)  Ascendants and descendants.
(2)  Collaterals within the fourth degree, whether of the whole or of the half blood.
B.  The impediment exists whether the persons are related by consanguinity or by adoption.  Nevertheless, persons related by adoption, though not by blood, in the collateral line within the fourth degree may marry each other if they obtain judicial authorization in writing to do so.
NOTE:  SEE ACTS 1987, NO. 886, §5.",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
90.1,Impediment of age,"A minor under the age of sixteen may not contract marriage. A minor sixteen or
seventeen years of age may not contract marriage with a person of the age of majority where
there is an age difference of three years or greater between them.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
91,Marriage ceremony required ,"The parties must participate in a marriage ceremony performed by a third person who is qualified, or reasonably believed by the parties to be qualified, to perform the ceremony.  The parties must be physically present at the ceremony when it is performed.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
92,Marriage by procuration prohibited ,"A marriage may not be contracted by procuration.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
93,Vices of consent ,"Consent is not free when given under duress or when given by a person incapable of discernment.
",I. OF PERSONS,IV - HUSBAND AND WIFE,1 - MARRIAGE: GENERAL PRINCIPLES,,
94,Absolutely null marriage ,"A marriage is absolutely null when contracted without a marriage ceremony, by procuration, or in violation of an impediment.  A judicial declaration of nullity is not required, but an action to recognize the nullity may be brought by any interested person.
{{NOTE:  SEE ACTS 1987, NO. 886, §5.}}",I. OF PERSONS,IV - HUSBAND AND WIFE,2 - NULLITY OF MARRIAGE,,
95,Relatively null marriage; confirmation ,"A marriage is relatively null when the consent of one of the parties to marry is not freely given.  Such a marriage may be declared null upon application of the party whose consent was not free.  The marriage may not be declared null if that party confirmed the marriage after recovering his liberty or regaining his discernment.
",I. OF PERSONS,IV - HUSBAND AND WIFE,2 - NULLITY OF MARRIAGE,,
96,Civil effects of absolutely null marriage; putative marriage,"An absolutely null marriage nevertheless produces civil effects in favor of a party
who contracted it in good faith for as long as that party remains in good faith.  When the
cause of the nullity is one party's prior undissolved marriage, the civil effects continue in
favor of the other party, regardless of whether the latter remains in good faith, until the
marriage is pronounced null or the latter party contracts a valid marriage.  When the cause
of the nullity is an impediment of age, the marriage produces civil effects in favor of a child
of the parties.  When the cause of the nullity is another reason, a marriage contracted by a
party in good faith produces civil effects in favor of a child of the parties.  A purported
marriage between parties of the same sex does not produce any civil effects.
",I. OF PERSONS,IV - HUSBAND AND WIFE,2 - NULLITY OF MARRIAGE,,
97,Civil effects of relatively null marriage ,"A relatively null marriage produces civil effects until it is declared null.
",I. OF PERSONS,IV - HUSBAND AND WIFE,2 - NULLITY OF MARRIAGE,,
98,Mutual duties of married persons ,"Married persons owe each other fidelity, support, and assistance.
",I. OF PERSONS,IV - HUSBAND AND WIFE,3.  INCIDENTS AND EFFECTS OF MARRIAGE,,
99,Family authority ,"Spouses mutually assume the moral and material direction of the family, exercise parental authority, and assume the moral and material obligations resulting therefrom.
",I. OF PERSONS,IV - HUSBAND AND WIFE,3.  INCIDENTS AND EFFECTS OF MARRIAGE,,
100,Surname of married persons ,"Marriage does not change the name of either spouse.  However, a married person may use the surname of either or both spouses as a surname.
",I. OF PERSONS,IV - HUSBAND AND WIFE,3.  INCIDENTS AND EFFECTS OF MARRIAGE,,
101,Termination of marriage ,"Marriage terminates upon: 
The death of either spouse.
Divorce.
A judicial declaration of its nullity, when the marriage is relatively null.
The issuance of a court order authorizing the spouse of a person presumed dead to remarry, as provided by law.
",I. OF PERSONS,IV - HUSBAND AND WIFE,4.  TERMINATION OF MARRIAGE,,
102,Judgment of divorce; living separate and apart prior to rule,"Except in the case of a covenant marriage, a divorce shall be granted upon motion of a spouse when either spouse has filed a petition for divorce and upon proof that the requisite period of time, in accordance with Article 103.1, has elapsed from the service of the petition, or from the execution of written waiver of the service, and that the spouses have lived separate and apart continuously for at least the requisite period of time, in accordance with Article 103.1, prior to the filing of the rule to show cause.
The motion shall be a rule to show cause filed after all such delays have elapsed.
",I. OF PERSONS,V - DIVORCE,1.  THE DIVORCE ACTION,,
103,Judgment of divorce; other grounds,"Except in the case of a covenant marriage, a divorce shall be granted on the petition
of a spouse upon proof that:
            (1)  The spouses have been living separate and apart continuously for the requisite
period of time, in accordance with Article 103.1, or more on the date the petition is filed.
            (2)  The other spouse has committed adultery.
            (3)  The other spouse has committed a felony and has been sentenced to death or
imprisonment at hard labor.
            (4)  During the marriage, the other spouse physically or sexually abused the spouse
seeking divorce or a child of one of the spouses, regardless of whether the other spouse was
prosecuted for the act of abuse.
            (5)  After a contradictory hearing or consent decree, a protective order or an
injunction was issued during the marriage against the other spouse to protect the spouse
seeking the divorce or a child of one of the spouses from abuse.
1380, §1; Acts 2006, No. 743, §1, eff. Jan. 1, 2007; Acts 2014, No. 316, §1; Acts 2015, No.
221, §1; Acts 2018, No. 265, §1.",I. OF PERSONS,V - DIVORCE,1.  THE DIVORCE ACTION,,
103.1,Judgment of divorce; time periods,"The requisite periods of time, in accordance with Articles 102 and 103 shall be as follows:
(1)  One hundred eighty days where there are no minor children of the marriage.
(2)  Three hundred sixty-five days when there are minor children of the marriage at the time the rule to show cause is filed in accordance with Article 102 or a petition is filed in accordance with Article 103.
",I. OF PERSONS,V - DIVORCE,1.  THE DIVORCE ACTION,,
104,Reconciliation ,"The cause of action for divorce is extinguished by the reconciliation of the parties.
",I. OF PERSONS,V - DIVORCE,1.  THE DIVORCE ACTION,,
105,Determination of incidental matters ,"In a proceeding for divorce or thereafter, either spouse may request a determination of custody, visitation, or support of a minor child; support for a spouse; injunctive relief; use and occupancy of the family home or use of community movables or immovables; or use of personal property.
",I. OF PERSONS,V - DIVORCE,1.  THE DIVORCE ACTION,,
111,Spousal support; authority of court,"In a proceeding for divorce or thereafter, the court may award interim periodic support to a party or may award final periodic support to a party who is in need of support and who is free from fault prior to the filing of a proceeding to terminate the marriage in accordance with the following Articles.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
112,Determination of final periodic support,"A.  When a spouse has not been at fault prior to the filing of a petition for divorce and
is in need of support, based on the needs of that party and the ability of the other party to pay,
that spouse may be awarded final periodic support in accordance with Paragraph B of this
Article.
            B.  The court shall consider all relevant factors in determining the amount and
duration of final support, including:
            (1)  The income and means of the parties, including the liquidity of such means.
            (2)  The financial obligations of the parties, including any interim allowance or final
child support obligation.
            (3)  The earning capacity of the parties.
            (4)  The effect of custody of children upon a party's earning capacity.
            (5)  The time necessary for the claimant to acquire appropriate education, training,
or employment.
            (6)  The health and age of the parties.
            (7)  The duration of the marriage.
            (8)  The tax consequences to either or both parties.
            (9)  The existence, effect, and duration of any act of domestic abuse committed by
the other spouse upon the claimant or a child of one of the spouses, regardless of whether the
other spouse was prosecuted for the act of domestic violence.
            C.  When a spouse is awarded a judgment of divorce pursuant to Article 103(2), (3),
(4), or (5), or when the court determines that a party or a child of one of the spouses was the
victim of domestic abuse committed by the other party during the marriage, that spouse is
presumed to be entitled to final periodic support.
            D.  The sum awarded under this Article shall not exceed one-third of the obligor's net
income.  Nevertheless, when support is awarded after a judgment of divorce is rendered
pursuant to Article 103(4) or (5), or when the court determines that a party or a child of one
of the spouses was the victim of domestic abuse committed by the other party during the
marriage, the sum awarded may exceed one-third of the obligor's net income and may be
awarded as a lump sum.
27; Acts 1964, No. 48; Acts 1979, No. 72, §1; Acts 1982, No. 293, §1; Acts 1986, No. 229,
§1; Acts 1997, No. 1078, §1, eff. Jan. 1, 1998; Acts 2006, No. 749, §1, eff. June 30, 2006;
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
113,Interim spousal support,"A.  Upon motion of a party, the court may award a party interim spousal support
based on the needs of that party, the ability of the other party to pay, any interim or final child
support obligation, and the standard of living of the parties during the marriage.  An award
of interim spousal support shall terminate one hundred eighty days from the rendition of a
judgment of divorce, except that the award may extend beyond one hundred eighty days but
only for good cause shown.
            B.  An obligation to pay final periodic support shall not begin until an interim spousal
support award has terminated.
1092, §1; Acts 2014, No. 316, §1; Acts 2014, No. 616, §1; Acts 2018, No. 265, §1.",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
114,Modification or termination of award of support,"An award of interim spousal support or final periodic support may be modified if the
circumstances of either party materially change and shall be terminated if it has become
unnecessary.  The subsequent remarriage of the obligor spouse shall not constitute a change
of circumstance.
265, §1.",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
115,Extinguishment of support obligation,"The obligation of interim spousal support or final periodic support is extinguished
upon the remarriage of the obligee, the death of either party, or a judicial determination that
the obligee has cohabited with another person of either sex in the manner of married persons.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
116,Modification of spousal support obligation,"The obligation of final spousal support may be modified, waived, or extinguished by judgment of a court of competent jurisdiction or by authentic act or act under private signature duly acknowledged by the obligee.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
117,Peremptive period for obligation,"The right to claim after divorce the obligation of spousal support is subject to a peremption of three years.  Peremption begins to run from the latest of the following events:
(1)  The day the judgment of divorce is signed.
(2)  The day a judgment terminating a previous judgment of spousal support is signed, if the previous judgment was signed in an action commenced either before the signing of the judgment of divorce or within three years thereafter.
(3)  The day of the last payment made, when the spousal support obligation is initially performed by voluntary payment within the periods described in Paragraph (1) or (2) and no more than three years has elapsed between payments.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,1.  SPOUSAL SUPPORT,
121,Claim for contributions to education or training; authority of court,"In a proceeding for divorce or thereafter, the court may award a party a sum for his financial contributions made during the marriage to education or training of his spouse that increased the spouse's earning power, to the extent that the claimant did not benefit during the marriage from the increased earning power.
The sum awarded may be in addition to a sum for support and to property received in the partition of community property.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,2.  CLAIM FOR CONTRIBUTIONS TO EDUCATION OR TRAINING,
122,Nature of action ,"The claim for contributions made to the education or training of a spouse is strictly personal to each party.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,2.  CLAIM FOR CONTRIBUTIONS TO EDUCATION OR TRAINING,
123,Form of award; effect of remarriage or death ,"The sum awarded for contributions made to the education or training of a spouse may be a sum certain payable in installments.
The award shall not terminate upon the remarriage or death of either party.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,2.  CLAIM FOR CONTRIBUTIONS TO EDUCATION OR TRAINING,
124,Prescription of spousal claim for contributions ,"The action for contributions made to the education or training of a spouse prescribes in three years from the date of the signing of the judgment of divorce or declaration of nullity of the marriage.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,2.  CLAIM FOR CONTRIBUTIONS TO EDUCATION OR TRAINING,
131,Court to determine custody ,"In a proceeding for divorce or thereafter, the court shall award custody of a child in accordance with the best interest of the child.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
132,Award of custody to parents,"If the parents agree who is to have custody, the court shall award custody in
accordance with their agreement unless the provisions of R.S. 9:364 apply or the best interest
of the child requires a different award.  Subject to the provisions of R.S. 9:364, in the
absence of agreement, or if the agreement is not in the best interest of the child, the court
shall award custody to the parents jointly; however, if custody in one parent is shown by
clear and convincing evidence to serve the best interest of the child, the court shall award
custody to that parent.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
133,Award of custody to person other than a parent; order of preference ,"If an award of joint custody or of sole custody to either parent would result in substantial harm to the child, the court shall award custody to another person with whom the child has been living in a wholesome and stable environment, or otherwise to any other person able to provide an adequate and stable environment.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
134,Factors in determining child's best interest,"A.  Except as provided in Paragraph B of this Article, the court shall consider all
relevant factors in determining the best interest of the child, including:
            (1)  The potential for the child to be abused, as defined by Children's Code Article
603, which shall be the primary consideration.
            (2)  The love, affection, and other emotional ties between each party and the child.
            (3)  The capacity and disposition of each party to give the child love, affection, and
spiritual guidance and to continue the education and rearing of the child.
            (4)  The capacity and disposition of each party to provide the child with food,
clothing, medical care, and other material needs.
            (5)  The length of time the child has lived in a stable, adequate environment, and the
desirability of maintaining continuity of that environment.
            (6)  The permanence, as a family unit, of the existing or proposed custodial home or
homes.
            (7)  The moral fitness of each party, insofar as it affects the welfare of the child.
            (8)  The history of substance abuse, violence, or criminal activity of any party.
            (9)  The mental and physical health of each party. Evidence that an abused parent
suffers from the effects of past abuse by the other parent shall not be grounds for denying that
parent custody.
            (10)  The home, school, and community history of the child.
            (11)  The reasonable preference of the child, if the court deems the child to be of
sufficient age to express a preference.
            (12)  The willingness and ability of each party to facilitate and encourage a close and
continuing relationship between the child and the other party, except when objectively
substantial evidence of specific abusive, reckless, or illegal conduct has caused one party to
have reasonable concerns for the child's safety or well-being while in the care of the other
party.
            (13)  The distance between the respective residences of the parties.
            (14)  The responsibility for the care and rearing of the child previously exercised by
each party.
            B.  In cases involving a history of committing family violence, as defined in R.S.
9:362, or domestic abuse, as defined in R.S. 46:2132, including sexual abuse, as defined in
R.S. 14:403(A)(4)(b), whether or not a party has sought relief under any applicable law, the
court shall determine an award of custody or visitation in accordance with R.S. 9:341 and
364.  The court may only find a history of committing family violence if the court finds that
one incident of family violence has resulted in serious bodily injury or the court finds more
than one incident of family violence.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
135,Closed custody hearing ,"A custody hearing may be closed to the public.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
136,Award of visitation rights,"A.  Subject to R.S. 9:341 and 364, a parent not granted custody or joint custody of
a child is entitled to reasonable visitation rights unless the court finds, after a hearing, that
visitation would not be in the best interest of the child.
            B.  In addition to the parents referred to in Paragraph A of this Article, the following
persons may be granted visitation if the parents of the child are not married or cohabitating
with a person in the manner of married persons or if the parents of the child have filed a
petition for divorce:
            (1)  A grandparent if the court finds that it is in the best interest of the child.
            (2)  Under extraordinary circumstances, any other relative, by blood or affinity, or a
former stepparent or stepgrandparent if the court finds that it is in the best interest of the
child. Extraordinary circumstances shall include a determination by a court that a parent is
abusing a controlled dangerous substance.
            C.  Before making any determination under Subparagraph (B)(1) or (2) of this Article,
the court shall hold a contradictory hearing as provided by R.S. 9:345 in order to determine
whether the court should appoint an attorney to represent the child.
            D.  In determining the best interest of the child under Subparagraph (B)(1) or (2) of
this Article, the court shall consider only the following factors:
            (1)  A parent's fundamental constitutional right to make decisions concerning the
care, custody, and control of their own children and the traditional presumption that a fit
parent will act in the best interest of their children.
            (2)  The length and quality of the prior relationship between the child and the relative.
            (3)  Whether the child is in need of guidance, enlightenment, or tutelage which can
best be provided by the relative.
            (4)  The preference of the child if he is determined to be of sufficient maturity to
express a preference.
            (5)  The mental and physical health of the child and the relative.
            E.  If the parents of a child are married and have not filed for divorce or they are
living in concubinage, the provisions of R.S. 9:344 shall apply.
§1; Acts 2009, No. 379, §2; Acts 2012, No. 763, §1, eff. June 12, 2012; Acts 2014, No. 586,
§1; Acts 2018, No. 383, §1; Acts 2018, No. 412, §1, eff. May 23, 2018.",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
136.1,Award of visitation rights,"A child has a right to time with both parents. Accordingly, when a court-ordered schedule of visitation, custody, or time to be spent with a child has been entered, a parent shall exercise his rights to the child in accordance with the schedule unless good cause is shown.  Neither parent shall interfere with the visitation, custody or time rights of the other unless good cause is shown.
",I. OF PERSONS,V - DIVORCE,2.  PROVISIONAL AND INCIDENTAL PROCEEDINGS,3.  CHILD CUSTODY,
